SKU;Nome;Categoria;Operação;Montável;Quantidade;Valor_Unitario;Subtotal;Descontos;Valor_Total
11487B3;Limoncello Spritz;CLÁSSICOS;Zig Card;FALSO;21;38,00;798,00;68,40;729,60
A1;Vinho - Taça;VINHOS;Zig Card;FALSO;5;38,00;190,00;11,40;178,60
11487Ao;Feiticeiro - Guest 50/25;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;2;42,00;84,00;0,00;84,00
AJ;Leblon;BURGUERS;Zig Card;VERDADEIRO;569;42,18;23999,00;1262,00;22737,00
114879E;Tropical 43;INTOCAVEIS;Zig Card;FALSO;684;44,00;30096,00;1012,00;29084,00
05;Arara Azul;Z-AUTORAIS ANTIGOS ;Zig Card;VERDADEIRO;111;38,00;4218,00;361,00;3857,00
114879M;Gonzaga;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;17;38,00;646,00;38,00;608,00
l;Mojito;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;162;30,00;4860,00;420,00;4440,00
l;Mojito;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;76;34,00;2584,00;125,80;2458,20
11487B1;ARRETADO;AUTORAIS;Zig Card;FALSO;2;46,00;92,00;0,00;92,00
114879I;Chá Curatudo;MOCKTAILS;Zig Card;VERDADEIRO;165;24,47;4038,00;26,40;4011,60
11487BV;Combo - Jardins;BURGUERS;Zig Card;VERDADEIRO;7;57,14;400,00;0,00;400,00
11487AB;Pizza Burrata;Z-COMIDAS ANTIGAS;Zig Card;FALSO;3;74,00;222,00;0,00;222,00
0C;Uirapuru;Z-AUTORAIS ANTIGOS ;Zig Card;VERDADEIRO;55;38,00;2090,00;95,00;1995,00
AQ;Combo Copacabana + Batata Trufada;BURGUERS;Zig Card;VERDADEIRO;77;69,05;5317,00;149,90;5167,10
29;Brownie com Sorvete;SOBREMESAS;Zig Card;VERDADEIRO;224;28,37;6354,00;408,00;5946,00
11487A3;Taça Terraços do Tejo - Tinto;VINHOS;Zig Card;FALSO;19;38,00;722,00;0,00;722,00
u;Tequila Sunrise;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;8;44,00;352,00;0,00;352,00
B;Aperol Spritz;CLÁSSICOS;Zig Card;FALSO;665;38,00;25270,00;972,80;24297,20
B;Aperol Spritz;CLÁSSICOS;Zig Card;FALSO;19;42,00;798,00;0,00;798,00
114879h;Xequilhas;RELEITURAS;Zig Card;FALSO;20;30,00;600,00;0,00;600,00
11487Am;Loose Your Head - Guest 50/25;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;3;42,00;126,00;0,00;126,00
114879l;Grã-Fino - Capricórnio;VEDÊ SIGNOS;Zig Card;FALSO;66;40,00;2640,00;0,00;2640,00
11487Ad;Quentão;CARDÁPIO DE INVERNO;Zig Card;FALSO;12;16,00;192,00;0,00;192,00
11487AD;Pizza de Brownie de chocolate;Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;6;50,00;300,00;0,00;300,00
2F;Guaraná Zero;SOFTS;Zig Card;VERDADEIRO;208;10,36;2154,00;44,00;2110,00
